29;You ... know the value of a measured number out to infinite decimal places.;never;;
30;You never know the value of a measured number out to ... decimal places.;infinite;;
31;You never know the value of a ... number out to infinite decimal places.;measured;;
32;... figures help with calculations on measured numbers.;Significant;;
33;Significant figures describe the � of measured numbers.;precision;;
34;� � describe the precision of measured numbers.;Significant figures;;
35;Significant figures are digits in your number that you �.;know;;
36;� figures are digits in your number that you know.;Significant;;
37;Scientific notation helps display � figures.;significant;;
38;� notation helps display significant figures.;Scientific;;
39;The number of the � tells you how many places to move the decimal point.;exponent;;
40;The number of the exponent tells you how many place to move the � point.;decimal;;
41;For a � exponent you move the decimal point left.;negative;;
42;For a negative exponent you move the decimal point �.;left;;
43;For a positive exponent you move the decimal point �.;right;;
44;For a � exponent you move the decimal point right.;negative;;
45;When adding or substracting your result will have as many significant figures as the number with fewest figures � the decimal point.;after;;
46;In multiplication there are as many significant figures in the result as there are in the least � measurment.;precise;;
nr #3;The Creation of Chemistry Question;answer;20;
1;Science of chemistry started from the works of �.;Antoine Lavoisier;;
2;Lavoisier described the reaction of � which he based on hydrogen and oxygen.;combustion;;
3;Hydrogen gets its name from being generated form �.;water;;
4;Lavoisier determined that � was a vital ingredient for combustion.;oxygen;;
5;Lavoisier determined that peiple and all animals are powered by some sort of internal �.;combustion;;
6;Lavoisier discovered that stuff remained �.;stuff;;
7;Lavoisier proposed the Law of � of �.;Conservation of Mass;;
8;The law of conservation of mass states that the amount of � is always the same.;matter;;
9;The law of � states that a specific compound always has the same proportions of elements.;definite proportions ;;
10;The law of definite proportions states that a specific compound always has the same ... of elements.;proportions;;
11;The law of definite proportions states that a specific compound always has the same proportions of ....;elements;;
12;Dalton was the first person to have � proof supporting the idea of atoms.;experimental;;
13;... proposed that any gas in a container of the same size, temperature and pressure wiould have roughly the same numer of molecules in ti.;Avogadro;;
14;Avogadro found a way to � atoms and molecules as long as they were gaseous.;weigh;;
15;... law states that equal volumes at the same temperature and pressure contain the same number of molecules.;Avogadro's;;
16;Avogadro's law states that equal ... at the same temperature and pressure contain the same number of molecules.;volumes;;
17;Avogadro's law states that equal volumes at the same temperature and pressure contain the same number of �.;molecules;;
nr #4;The Periodic Table Question;answer;60;
1;The � � � �  is a concise catalog of all known atoms.;periodic table of elements;;
2;The periodic table of elements is a concise catalog of all known ....;atoms;;
3;... was the author of the first version of the peridoic table.;Menedeleev;;
4;Menedeleev was the author of the ... version of the peridoic table.;first;;
5;The first periodic table was formed in the �.;1860s;;
6;The periodicity of mass in the periodic table is �.;8;;
7;The first group in the peridoic table contains � �.;alkali metals;;
8;� � are soft, shiny and extremely reactive, good conductors and have one loosely bound valence electron.;alkali metals;;
9;Alkali metals are very reactive because of the single � �.;valence electron;;
10;The second group in the periodic table contains � � �.;alakaline earth metals;;
11;� � � are less reactive the alkali metals, have two electrons in the outer shell, readily form divalent cations.;alakaline earth metals;;
12;The middle of the periodic table contains � �.;transition metals;;
13;� � are fairly unreactive, have high melting and boiling points, many oxidation states and low ionization energies.;transition metals;;
14;Common metals are in the periodic table group of � �.;transition metals;;
15;The � have very high electronegativities, seven valence electrons and are highly reactive with alkali metals and alkaline eaths.;halogens;;
16;� are on the far right next to the noble gases.;halogens;;
17;The recatangle between the halogens and transition metals contains a � of atom types.;mixture;;
18;The recatangle between the ... and transition metals contains a mixture of atom types.;halogens;;
19;The recatangle between the halogens and � ... contains a mixture of atom types.;transition metals;;
20;Metals are � at room temperature except for mercury.;solids;;
21;Metals are solid at room temperature except for �.;mercury;;
22;� are solid at room temperature except for mercury.;Metals;;
23;Metalloids possess characteristics of � and �.;metals, nonmetals;;
24;� posses characteristics of metals and nonmetals;Metalloids;;
25;Nonmetals are � solids and gain electrons easily.;britle;;
26;� are britle solids and gain electrons easily.;nonmetals;;
27;Lanthanides and � are located separatley at the bottom of the periodic table.;actinides;;
28;... and actinides are located separatley at the bottom of the periodic table.;Lanthanides;;
29;Lanthanides and actinides were �  when Meneleev was alive.;unknown;;
30;� are silvery-white metals which tarnish exposed to air, very reactive, strong reducing agents and have high melting and boiling points.;Lanthanides;;
31;� are all radioactive highly electropositive, very dense metals and combine directly with most nonmetals.;actinides;;
32;Lanthanides and � are very similar to each other.;actinides;;
33;� � are unreactive, have a complete valence shell, all gases at room temperature.;Noble gases;;
34;Noble gases are located on the � � of the periodic table.;far right;;
nr #5;The Electron Table Question;answer;130;
1;Electrons were understood � years after Mendeleev's death.;80;;
2;� � formed analogies of music to described differences between atoms.;John Newland;;
3;Portions of energy given of by electrons are called �.;quanta;;
4;� � created a model describing energy levels for a single electron in hydrogen.;Niels Bohr ;;
5;The Bohr Model was created in �.;1913;;
6;The Bohr model � � apply to more complicated atoms than hydrogen.;does not;;
7;Electrons � � behave like particles.;do not;;
8;Electrons are best described as �.;waves;;
9;Electrons are �-� dualities.;wave-particle;;
10;� are wave-particle dualities.;Electrons;;
11;Electrons are looked at as � waves.;standing;;
12;Standing waves are used to describe �.;electrons;;
13;� � developed a mathematical model where the electron was assumed to be a standing wave.;Erwin Schrodinger;;
14;Schroding first described electrons as a � �.;standing wave;;
15;... exist in orbitals. ;Electrons;;
16;� electrons are required to fill an orbital.;two;;
17;Orbitals are filled by � electrons.;two;;
18;Orbitals form �.;shells;;
19;Electron shells are made up of �.;orbitals.;;
20;The first shell has an � orbital, which can fit only two electrons.;single;;
21;The �-�  is the first orbital on any shell.;s-orbital;;
22;The first shell only has the � orbital.;s;;
23;The peridoic table row number gives the number of � in an atom.;shells;;
24;The second shell has � orbitals.;two;;
25;The second shell is physically � than the first.;larger;;
26;The second electron shell contains the s and � orbitals.;p;;
27;The p orbital can have � different configurations.;three;;
28;The second orbital is called the �-orbital.;p;;
29;The p orbital can have ... electrons in each configuration.;two;;
30;Name the configurations of the p-orbital.;2px;;
31;Name the configurations of the p-orbital.;2py;;
32;Name the configurations of the p-orbital.;2pz;;
33;The second shell can contain a maximum of � electrons.;8;;
34;The ... rule describes the preference of lighter elements for 8 electrons in their outer shell.;octet;;
35;The octet rule describes the preference of lighter elements for 8 electrons in their ... shell.;outer;;
36;The octet rule describes the preference of lighter elements for ... electrons in their outer shell.;8;;
37;Electron ... describe the distribution of electrons in an atom.;configurations;;
38;Electron configurations are written: number of the ... the letter of the orbital, number of electrons in that orbital.;shell,;;
39;Electron configurations are written: number of the shell, the letter of the �, number of electrons in that orbital.;orbital;;
40;Electron configurations are written: number of the shell, the letter of the orbital, number of electrons in that ....;orbital;;
41;The third kind of orbital is designated the letter �.;d;;
42;The d orbital can contain a total of � electrons.;10;;
43;The d orbital has � different configurations.;5;;
44;Name the configuration of the d-orbital.;dxz;;
45;Name the configuration of the d-orbital.;dyz;;
46;Name the configuration of the d-orbital.;dxy;;
47;Name the configuration of the d-orbital.;dx^2-y^2;;
48;Name the configuration of the d-orbital.;dz^2;;
49;Before filling the last two electrons of the d-orbital two electrons go the � shell.;fourth;;
50;Before filling the last two electrons of the d-orbital two electrons go the � orbital.;4s;;
51;The 4s orbital is filled before the �.;3d;;
52;The 4s orbital is filled first because it is more ... favourable.;energetically;;
53;What is the order of filling of orbitals?;ans in pic;;
54;The ... and ... orbitals do not need to be as fully filled as the s and p orbitals which shield them.;d, f;;
55;The d and f orbitals do not need to be as fully filled as the ... and ... orbitals which shield them.;s, p;;
56;The presence of d and f orbitals give atoms properties such as ... reduced reactivity.;conductivness;;
57;The presence of d and f orbitals give atoms properties such as conductivness, ... reactivity.;reduced;;
58;The energy required to ... an electron from an atom is called ionization energy.;remove;;
59;The energy required to remove an ... from an atom is called ionization energy.;electron;;
60;The energy required to remove an electron from an atom is called ... energy.;ionization;;
61;Electrons are removed starting from the one with the � energy level.;highest;;
62;The � electron has the highest energy.;outermost;;
63;The removal of the outermost shell leaves the next shell isoelectrically analogoues to the shell of a � �.;noble gas;;
64;The removal of electrons from the second outermost shell requires a � amount of energy.;significant;;
65;Atoms are ... the same when they have the same amount of electrons.;isoelectrically;;
66;Atoms are isoelectrically the same when they have the same amount of ....;electrons;;
67;� ... is the energy required to add an electron to an atom.;Electron affinity;;
68;Electron affinity is the energy required to ... an electron to an atom.;add;;
69;The periodic table groups atoms also according to their electron ... types.;orbital;;
70;In order for an ... to exist, there has to be an excitation of the electron field.;electron;;
71;In order for an electron to exist, there has to be an ... of the electron field.;excitation;;
72;Excitations of the electron field can be described as �;waves;;
73;At any given �, the electron can be anywhere within the function of the wave.;moment;;
74;At any given moment, the electron can be ... within the function of the wave.;anywhere;;
75;At any given moment, the electron can be anywhere within the ... of the wave.;function;;
76;The waves of an electron field are not defined by finite boundries, but vary in ... in different areas.;strength;;
77;The strength of an electron field wave in a certain point in space determines the probability of finding an ....;electron;;
78;The ... of an electron field wave in a certain point in space determines the probability of finding an electron.;strength;;
nr #6;Stoichiometry Question;answer;45;
1;... is the science of measuring chemicals that go into and come out of any given reaction.;Stoichiometry;;
2;"� in greek means ""measuring elements"".";Stoichiometry;;
3;Stoichiometry allows us to count up atoms and molecules by � them.;weighing;;
4;Relative atomic mass is the the ... of all of the naturally occuring isotpes of a given element.;average;;
5;Atomic mass units is �/� of the 12C carbon.;1    /    ,12;;
6;A mole allows us to express a chemical's atomic mass in terms of �.;grams;;
7;A ... allows us to express a chemical's atomic mass in terms of grams.;mole;;
8;...*10^23 of anything is a mole of that thing.;6.022;;
9;6.022*10^... of anything is a mole of that thing.;23;;
10;6.022*10^23 of anything is a ... of that thing.;mole;;
11;6.022*10^23 is a constant known as � number. ;Avogadro's;;
12;... is a constant known as � number. ;6.022*10^23;;
13;A mole of an element contains � of atoms of that element.;6.022*10^23;;
14;One ... of any element equals its relative atomic mass in grams.;mole;;
15;One mole of any element equals its relative atomic mass in �.;grams;;
16;MOLAR MASS (...) in gram = REALTIVE ATOMIC MASS (RAM) in amu.;M;;
17;MOLAR MASS (M) in ... = REALTIVE ATOMIC MASS (RAM) in amu.;gram;;
18;How much does 1 mole of carbon weigh?;12.01g;;
19;How much does 1 mole of oxygen weigh?;16g;;
20;Reactants of a chemical reaction are written on the �.;left;;
21;Products of a chemical reaction are written on the �.;right;;
22;The number of atoms of each element � � � in a chemical reaction (conservation of mass).;remains the same;;
23;Reconciling the reactants with the products is called � �.;equation balancing;;
nr #7;Water and solutions Question;answer;45;
1;,,, enviornments are best for the majority of chemical reactions.;aqueous;;
2;A ... is a liquid with another substance dissolved in it.;solution;;
3;A solution is a � with another substance dissolved in it.;liquid;;
4;A solution is a liquid with another substance � in it.;dissolved;;
5;The liquid in a solution is called the �.;sovent;;
6;The dissolved material in a solution is called the the �.;solute;;
7;Water is a good solvent because water molecules are �.;polar;;
8;... solvents dissolve polar solutes well.;Polar;;
9;Polar solvents ... polar solutes well.;dissolve;;
10;Polar solvents dissolve ... solutes well.;polar;;
11;Water based solutions are called � solutions.;aqueous;;
12;... does not dissolve non-ionic, nonpolar substances.;Water;;
13;... property allows molecules to decrease the attraction between ions of different charges.;Dielectric;;
14;Dielectric property allows molecules to ... the attraction between ions of different charges.;decrease;;
15;Dielectric property allows molecules to decrease the attraction between ions of ... charges.;different;;
16;Ions in water are called �.;electrolytes;;
17;Electrolytes are � in water.;ions;;
18;� conduct electricity through water.;electrolytes;;
19;The � the the concentration of electrolytes in a solution, the higher the it's electrical conductivity.;higher;;
20;A � electrolyte is one that breaks apart completely when dissolved in water and conducts electricity very well.;strong;;
21;�, � acids and strong bases are strong electrolytes.;salts, strong;;
22;... electrolytes only dissociate partially when dissolved in water and are so somewhat conductive.;Weak;;
23;... are moleclues which dissolve in water but do not break up into ions, thus do not conduct electricity.;Nonelectrolytes;;
24;The � concentration (M) is the same as a solutions molarity.;molar ;;
25;The molar concentration (M) is the same as a solutions ....;molarity;;
26;The number of ... of a solute that are in a a solution is known as it's molar concentration.;moles;;
27;The number of moles of a ... that are in a a solution is known as it's molar concentration.;solute;;
28;... equals the number of moles of solute divided by the liters of solution.;Molarity;;
29;Molarity equals the number of moles of solute ... by the liters of solution.;divided;;
30;Molarity equals the number of moles of solute divided by the ... of solution.;liters;;
31;... is expressed as the number of moles of a solute in a kilogram of a solution.;Molality;;
32;Molality is expressed as the number of moles of a solute in a ... of a solution.;kilogram;;
33;... referes to moles per unit mass.;Molality;;
34;Molality referes to ... per unit mass.;moles;;
35;Molality referes to moles per unit ....;mass;;
36;... referes to moles per unit volume.;Molarity;;
37;Molarity referes to ... per unit volume.;moles;;
38;Molarity referes to moles per unit ....;volume;;
39;After dilution the amount of moles of a solute is �.;the same.;;
40;After dilution the molarity of the solute �.;changes;;
nr #8;Acid-based reactions in solution Question;answer;45;
1;Acid means � in Latin.;sour;;
2;Bases taste � and are slippery.;bitter;;
3;Soap is a ....;base;;
4;Acids and ... neutralize each other.;bases;;
5;... and bases neutralize each other.;Acids;;
6;Water is the most common ... and base on Earth.;acid;;
7;... is the most common acid and base on Earth;Water;;
8;An ... is any substance which donates a proton.;acid;;
9;An acid is any substance which ... a proton.;donates;;
10;A ...is any substance which accepts a proton.;base;;
11;A base is any substance which ... a proton.;accepts;;
12;A proton in chemical reactions is mainly a ... atom without its electron.;hydrogen;;
13;When water accepts a proton a ... ion is formed.;hydronium;;
14;H30+ is the ... ion.;hydronium;;
15;When acids dissociate in water ... ions are formed.;hydronium;;
16;H+ in solution is always in the form of a ... ....;hydronium ion;;
17;A ... base is a species formed by the removal of a proton from an acid.;conjugated;;
18;A conjugated base is a species formed by the removal of a ... from an acid.;proton;;
19;A conjugated base is a species formed by the ... of a proton from an acid.;removal;;
20;A ... acid is a species formed by the reception of a proton by a base.;conjugated;;
21;A conjugated acid is a species formed by the ... of a proton by a base.;reception;;
22;A conjugated acid is a species formed by the reception of a ... by a base.;proton;;
23;Strong acid ... convert back to conjugate bases by acceptin protons.;reluctantly;;
24;Conjugate bases are ... bases.;weak;;
25;Strong bases have � conjuagte acids.;weak;;
26;Dihydrogen oxide is commonly called �.;water;;
27;... is a good enviornment for acid-base chemistry because it is both a good acceptor and donor of protons.;Water;;
28;Water is a ... enviornment for acid-base chemistry because it is both a good acceptor and donor of protons.;good;;
29;Water is a good enviornment for acid-base chemistry because it is both a good acceptor and donor of �.;protons;;
nr #9;Precipitation reactions Question;answer;45;
1;Precipitation reactions are reactions when chemicals in a solution react to from a �.;solid;;
2;� reactions are reactions when chemicals in solution react to form a solid.;Precipitation;;
3;Precipitation reactions are what create � deposits.;geological;;
4;... is the measure of how well a compound dissolves.;Solubility;;
5;... is a solid formed in solution.;Precipitate;;
6;Precipitate is a solid formed in �.;solution;;
7;Cations are � charged ions.;positively;;
8;� are positively charged ions.;cation;;
9;Anions are � charged ions.;negatively;;
10;� are negatively charged ions.;anions;;
11;Anions react with �.;cations;;
12;Cations react with �.;anions;;
13;Metals from the lfet side of the periodic table are � charged.;positively;;
14;Metals from the � side of the periodic table are positively charged.;left;;
15;� from the left side of the periodic table are positively charged.;metals;;
16;Gases from the � side of the periodic table are negatively charged.;right;;
17;� from the right side of the periodic table are negatively charged.;gases;;
18;Gases from the right side of the periodic tabel are � charged.;negatively;;
19;Nitrate are � dissolved in water.;easily;;
20;Elements in the same column of the periodic table often behave in � ways.;similair;;
21;Precipitation reactions can be discribed with notations in parenthesis describing the � in which the chemicals are in.;state;;
22;(aq) means �;aqueous/in solution;;
23;(s) means �.;in solid state;;
24;A � equation describes the solid/aqueoues states of chemicals in a creaction.;molecular;;
25;One way to write a precipitation reaction is to present all soluble chemicals as �.;ions;;
26;A � � equation only shows the ions which react to form a non-soluble product.;Net ionic;;
27;A net ionic equation only shows the � react to form a non-soluble product.;ions;;
28;� is toxic to bacteria and fungi but not humans.;silver;;
29;The troy weight system is used to weigh � �.;precious metals.;;
30;A troy ounce equals � grams.;31.1;;
31;Redox reaction is short for �-�.;reduction-oxidation;;
nr #10;Redox reactions Question;answer;50;
1;Redox reactions involve the transfer of �.;electrons;;
2;� reactions involve the transfer of electrons.;redox;;
3;Reduction is when a substance � electrons.;gains;;
4;� is when a substance gains electrons.;Reduction;;
5;Reduction is when a substance gains �.;electrons;;
6;Oxidation is when a substance looses �.;electrons;;
7;� is when a substance looses electrons.;oxidation;;
8;Oxygen is the quintessential �.;oxidaizer;;
9;Oxidation and reduction is all about � �.;electron transfer;;
10;OILRIG - OIL stands for: � is � of �.;oxidation is loss of electrons;;
11;OILRIG - RIG stands for � is � of �..;reduction is gain of electrons;;
12;Covalent bonds involve � of electrons.;sharing;;
13;� bonds invlove sharing of electrons between atoms.;covalent;;
14;Covalent compounds share �.;electrons;;
15;Oxidation state is also called the oxidation �.;number;;
16;Oxidation number is also called the oxidation �.;state;;
17;The oxidation state describes the status of � electrons.;shared;;
18;The � � describes the statues of shared electrons in a covalent compound.;oxidation state/number;;
19;The oxidation number is the value of an atoms charge if it was an �.;ion;;
20;The oxidation number for any element by itsefl is always �.;zero;;
21;The oxidation number for a monoatomic ion is equal to its �.;charge;;
22;Oxygen almost always has an oxidation of � �.;negative two, -2;;
23;Hydrogen has an oxidation state of �;positive one, +1;;
24;Fluorine has an oxidation state of �.;negative one, -1;;
25;Most of the halogens have the same oxidation state as �.;fluorine;;
26;The most common oxidation state for most halogens is �.;negative one, -1;;
27;All oxidation numbers in a neutral compound will alwasy add up to �.;zero;;
28;A polyatomix ion has an oxidation state that matches its �.;charge;;
29;� ... of most elements change depending on what they're bonded with.;Oxidation state;;
30;An � in organic chemistry is a symbol for some organic group of atoms.;R;;
31;The functional group of aldhydes is �;CHO;;
32;Oxidation numbers are assigned to ... to track what happens to their electrons in reactions.;atoms;;
33;� ... are assigned to atoms to track what happens to their electrons in reactions.;Oxidation numbers;;
34;Oxidation numbers are assigned to atoms to track what happens to their ... in reactions.;electrons;;
nr #11;How To Speak Chemistrian Question;answer;50;
1;Different nomenclature rules in chemistry depend on the � being described.;element;;
2;� ions are formed from single atoms.;monoatomic;;
3;Ions are written using the element symbol and writting the charge as a �.;superscript;;
4;... are written using the element symbol and writting the charge as a superscript.;Ions;;
5;If the charge of an ion is just of a single electron lost or gained you don't need to write the �.;one;;
6;"Cations are named using the name of the � and followed by the word ""ion"".";element;;
7;"... are named using the name of the element and followed by the word ""ion"".";Cations;;
8;"Anions are named using a special suffix ""�"".";ide;;
9;"� are named using a special suffix ""ide"".";ide;;
10;Naming ionic compounds we saz the � first and the ... second.;cation first, anion second;;
11;Alkali metals and alkaline earth metals form ions when reacting with �-�.;non-metals;;
12;Alkali metals and alkaline earth metals form ... when reacting with non-metals.;cations;;
13;Halogens, sulphur, oxygen and nitrogen gain electrons forming �.;anions;;
14;� � are used to distinguish the diffrent ions of one element.;Roman numerals ;;
15;When writing the charge of a transition metal ion the roman numerals are placed in � with no space between the cation.;parentheses;;
16;Acids are � compounds.;ionic;;
17;Hydrogen ions from acids become �.;cations;;
18;All acids are made up of one or more hydrogen bound to an �.;anion;;
19;"All anions that end in ""-ate"" form acids that end in ""-�"".";ic;;
20;"All anions that end in ""-�"" form acids that end in ""-ic"".";ate;;
21;"The ""-""ous"" suffix means ""� �"".";less than;;
22;"All ions ending in ""-ite"" form acids that end in ""-�""";ous;;
23;"� is Greek for ""less than"" or ""under"".";hypo;;
24;"The prefix ""�-"" is latin for ""very"" or ""thoroughly"".";per;;
25;"When an aicd has the highest number of oxygens possible it is named with the ""�-"" prefix.";per;;
26;"When an acid has no oxygens it is named using the prefix ""�-"".";hydro;;
27;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
28;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
29;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
30;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
31;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
32;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
33;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
34;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
35;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
36;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
37;Fill in the missing prefix/suffix of the acid and their anion according to naming conventions.;see table;;
nr #12;The Ideal Gas Law;answer;50;
1;The pressure-volume relationship states that pressure*volume=�.;constant;;
2;The pressure-volume relationship states that pressure*�=constant.;volume;;
3;The pressure-volume relationship states that ...*volume=constant.;pressure;;
4;The pressure-volume relationship is valid at constant �.;temperature;;
5;The pressure-volume relationship is called � Law.;Boyle's;;
6;Jacques Charles dicoverd that volume/temperature=� at a stable pressure.;constant;;
7;Amadeo Avogadro discoverd that volume/amount of moles=� at stable pressure and temperature.;constant;;
8;The � � Law states that: PV=nRT;Ideal Gas;;
9;The Ideal Gas Law states that: �V=nRT.;P, Pressure;;
10;The Ideal Gas Law states that: P...=nRT.;V, Volume;;
11;The Ideal Gas Law states that: PV=...RT.;n, number of moles;;
12;The Ideal Gas Law states that: PV=n...T.;R, gas constant;;
13;The Ideal Gas Law states that: PV=nR....;T, temperature [K];;
14;� describes how molecules bounce against each other;pressure;;
15;The S.I. unit of pressure is �.;Newtons per meters squared;;
16;The unit pascal is short for the S.I unit of �.;pressure;;
17;One atmosphere (atm) is the pressure on earth at � �.;sea level;;
18;101325 pascals is equal to � atm.;1;;
19;1 atm is aproximated as � kPa;100;;
20;100 kPa is approximated at 1 �.;atm;;
21;� is the amount of space particles have to exist inside of.;volume;;
22;The Universal Gas Constant symbol is �.;R;;
23;R is the symbol for the � � �.;Universal Gas Constant;;
24;The Universal Gas Consant is equal to � [LkPa/Kmol];8.3145;;
25;Temperature at the atomic level is described as � energy.;kinetic;;
26;STP stands for � � and �.;standard temperature and pressure;;
27;STP is equal to � kPa and 0 �C.;100;;
28;STP is equal to 100 kPa and ... �C.;0;;
29;One mole of any ideal gas takes up a volume of � L at STP.;22.4;;
30;� mole of any ideal gas takes up a volume of 22.4 L at STP.;1, one;;
31;Aboslute zero is the temperature at which all � of particles stops.;movement;;
32;Abosolute zero is the temperature at which all movement of particles �.;stops;;
33;� � is the temperature at which all movement of particles stops.;absolute zero;;
34;Absolute zero is � Kelvins or -273.15 �C.;0;;
35;Absolute zero is 0 Kelvins or  ... �C.; -273.15;;
nr #13;The Ideal Gas problems;answer;30;
1;The Universal Gas Constant was calculated by �.;Dmitri Mendeleev;;
2;The Ideal Gas Law works perfectly only when gases behave �.;ideally;;
3;An ideal gas is described by particles that do not take up space and are not � to each other.;attracted;;
4;An � gas is described by particles that do not take up space and ar not attracted to each other.;ideal;;
5;An ideal gases are not present under � pressure, low temperature or high density.;high;;
6;An ideal gases are not present under high pressure, ... temperature or high density.;low;;
7;An ideal gases are not present under high pressure, low temperature or ... density.;high;;
8;Johannes van der ... corrected the gas equation.;Waals;;
9;Sudden increase in pressure results in extreme increase in �.;temperature;;
10;Sudden increase in � results in extreme increase in temperature.;pressure;;
nr #14;Real gases;answer;40;
1;Joahnnes van der ... figured out corrections of the ideal gas law.;Waals;;
2;The ... Equation explains why gases do not always behave as ideal gases.;van der Waals;;
3;The van der Waals Equation explains why gases do not always behave as ... gases.;ideal;;
4;The van der Waals Equation depends on the existance and interactions of �.;molecules;;
5;Gas molecules deduct from the available ... within a closed container they're in.;space;;
6;Volume in van der Waals Equation is corrected by � values.;two;;
7;Volume in van der Waals Equation is corrected by the constant b and �.;n, number of moles;;
8;The constant ... in van der Waals Equation is determined experimentally.;b;;
9;The constant b in van der Waals Equation is determined �.;experimentally;;
10;The constant bis different for every type of �.;gas;;
